"source_id","authority","title","official_url","source_archive_reference","source_archive_sha256","retrieval_status","source_status","legal_approval_status","connector_status","permitted_verification_method","api_contract_or_authorization_evidence","counsel_decision","counsel_evidence_hash"
"MYK_MANDATORY","MYK","Belge Zorunluluğu Kapsamındaki Meslekler","https://portal.myk.gov.tr/index.php?belge_zorunlu=1&option=com_yeterlilik&view=arama","TR_Official_Source_Registry_v1.json:MYK_MANDATORY; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MYK_QUALIFICATIONS","MYK","Ulusal Yeterlilik Arama","https://portal.myk.gov.tr/index.php?option=com_yeterlilik&view=arama","TR_Official_Source_Registry_v1.json:MYK_QUALIFICATIONS; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MYK_VERIFY","e-Devlet / MYK","MYK Mesleki Yeterlilik Belgesi Sorgulama","https://www.turkiye.gov.tr/myk-mesleki-yeterlilik-belgesi-sorgulama","TR_Official_Source_Registry_v1.json:MYK_VERIFY; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MYK_ISSUERS","e-Devlet / MYK","Belge Vermeye Yetkili Kuruluşlar","https://www.turkiye.gov.tr/myk-belge-vermeye-yetkili-kuruluslar-ve-ucret-tarifeleri","TR_Official_Source_Registry_v1.json:MYK_ISSUERS; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MYK_EXEMPTION","MYK","Belge zorunluluğu – diploma/ustalık muafiyetleri","https://www.myk.gov.tr/tr/haberler/yeterlilik/belge-zorunluluuna-ilikin-skca-sorulan-sorular","TR_Official_Source_Registry_v1.json:MYK_EXEMPTION; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MYK_SAMPLE","MYK","MYK Mesleki Yeterlilik Belgesi/Kartı resmî örnekleri","https://www.myk.gov.tr/tr/page/59","TR_Official_Source_Registry_v1.json:MYK_SAMPLE; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"MEB_MASTER","MEB / e-Devlet","Kalfalık, Ustalık, Usta Öğreticilik ve İş Yeri Açma Belgesi Sorgulama","https://www.turkiye.gov.tr/milli-egitim-kalfalik-ustalik-usta-ogrencilik-ve-is-yeri-acma-belgesi-sorgulama","TR_Official_Source_Registry_v1.json:MEB_MASTER; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"EDEVLET_BARCODE","e-Devlet","Barkodlu Belge Doğrulama","https://www.turkiye.gov.tr/belge-dogrulama","TR_Official_Source_Registry_v1.json:EDEVLET_BARCODE; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","MISSING — do not invoke or scrape","",""
"UAB_TYPES","Ulaştırma ve Altyapı Bakanlığı","Eşya Taşımacılığı Yetki Belgesi Türleri","https://istanbul.uab.gov.tr/yetki-belgeleri-esya-tasimaciligi-yetki-belgesi-turleri","TR_Official_Source_Registry_v1.json:UAB_TYPES; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","UAB / izinli issuer veya kayıtlı yetkili manuel teyit; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
"UAB_VERIFY","Ulaştırma ve Altyapı Bakanlığı","Yetki Belgesi Hizmetleri","https://uhdgm.uab.gov.tr/yetki-belgeleri-hizmetleri","TR_Official_Source_Registry_v1.json:UAB_VERIFY; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","PUBLIC_DISCOVERY_RETRIEVED_OR_PACK_REFERENCE_ONLY","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","PENDING_OR_NOT_CONFIGURED","UAB / izinli issuer veya kayıtlı yetkili manuel teyit; API/contract yok => PENDING","MISSING — do not invoke or scrape","",""
