source_id,official_local_title,authority,official_url,instrument_name,exact_article_paragraph_annex,official_publication_date,effective_date,transition_or_exemption,supported_requirement_ids,source_status,accessed_at_utc,source_content_hash_or_immutable_archive,verifier_full_name,verification_at,approval_reference
DE-HWO,Handwerksordnung (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/hwo/,Handwerksordnung,Anlagen A/B — UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-NAV-13,Niederspannungsanschlussverordnung (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/nav/BJNR247710006.html,NAV,§ 13 — UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-AVBWASSERV-12,Verordnung über Allgemeine Bedingungen für die Versorgung mit Wasser (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/avbwasserv/BJNR007500980.html,AVBWasserV,§ 12 — UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-NDAV-13,Niederdruckanschlussverordnung (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/ndav/__13.html,NDAV,§ 13 — UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-CHEMKLIMASCHUTZV-2026,Chemikalien-Klimaschutzverordnung (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/chemklimaschutzv_2026/,ChemKlimaSchutzV,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-BALM-GUETERVERKEHR,Güterverkehr FAQ / authority information (research registry label; unverified),Federal Office for Logistics and Mobility,https://www.balm.bund.de/DE/Service/FragenAntwortenFAQ/FragenAntwortenGueterverkehr/fragenantwortengueterverkehr.html,BALM Güterverkehr information,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-POSTG-2024,Postgesetz 2024 (research registry label; unverified),Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/postg_2024/BJNR0EC0B0024.html,PostG 2024,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-BNETZA-POST-DIRECTORY,Post-Anbieterverzeichnis (research registry label; unverified),Bundesnetzagentur,https://www.bundesnetzagentur.de/DE/Fachthemen/Post/Anbieterverzeichnis/artikel.html,Bundesnetzagentur directory,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-DVGW-INSTALLER-RESEARCH,DVGW installer reference (research registry label; unverified),DVGW (research reference),https://www.dvgw.de/,DVGW reference,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
DE-VDE-TAB-RESEARCH,VDE/TAB reference (research registry label; unverified),VDE / local network operator (research reference),https://www.vde.com/,VDE/TAB reference,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,NOT_RETRIEVED_DURING_THIS_EVIDENCE_RUN,PENDING_OFFICIAL_SNAPSHOT_OR_ARCHIVE_REFERENCE,,,
