requirement_id,country,exact_jurisdiction,service_id,subservice_id,task_type,provider_operating_model,required_profile_conditions,residential_commercial_construction,work_type,required_credential_type,credential_subject,issuer_authority,exact_scope_category,validity_expiry_revocation,exemption_transition,source_id,source_status,connector_id,connector_status,risk_level,current_enforcement_state,decision,decision_reason,canonical_capability_id,canonical_capability_key,canonical_capability_display_name,canonical_capability_status,capability_definition_id,blocked_by_default,mapping_state,policy_source_state,policy_legal_state,policy_connector_state,policy_release_state,policy_translation_state,policy_data_residency_state,policy_sanctions_state
DE-BE-BERLIN-CAP-1,DE,DE-BE-BERLIN,3,UNKNOWN,tr.cleaning.standard_home_cleaning,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,1,tr.cleaning.standard_home_cleaning,Temizlik — Standart ev temizliği,draft,30001,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-2,DE,DE-BE-BERLIN,1,UNKNOWN,tr.plumbing.installation,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,2,tr.plumbing.installation,Su Tesisatı — Sıhhi tesisat montajı/yeni hat/armatür,draft,30002,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-3,DE,DE-BE-BERLIN,1,UNKNOWN,tr.plumbing.maintenance_repair,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,3,tr.plumbing.maintenance_repair,Su Tesisatı — Bakım/arıza/onarım,draft,30003,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-4,DE,DE-BE-BERLIN,1,UNKNOWN,tr.plumbing.utility_meter,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,4,tr.plumbing.utility_meter,Su Tesisatı — Su sayacı/mühürlü idare ekipmanı,draft,30004,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-5,DE,DE-BE-BERLIN,2,UNKNOWN,tr.electrical.residential_installation,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,5,tr.electrical.residential_installation,Elektrik — Konut iç tesisat/priz/aydınlatma/arıza,draft,30005,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-6,DE,DE-BE-BERLIN,2,UNKNOWN,tr.electrical.panel_or_project,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,6,tr.electrical.panel_or_project,Elektrik — Pano/yeni esaslı tesisat/proje yetkisi,draft,30006,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-7,DE,DE-BE-BERLIN,2,UNKNOWN,tr.electrical.meter_or_sealed_grid,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,7,tr.electrical.meter_or_sealed_grid,Elektrik — Elektrik sayacı/mühürlü dağıtım ekipmanı,draft,30007,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-8,DE,DE-BE-BERLIN,6,UNKNOWN,tr.painting.construction_painting,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,8,tr.painting.construction_painting,Boya & Badana — İç/dış cephe inşaat boyacılığı,draft,30008,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-9,DE,DE-BE-BERLIN,4,UNKNOWN,tr.air_conditioning.cleaning_no_refrigerant,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,9,tr.air_conditioning.cleaning_no_refrigerant,Klima — Filtre/dış temizlik; soğutucu devreye müdahale yok,draft,30009,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
DE-BE-BERLIN-CAP-10,DE,DE-BE-BERLIN,4,UNKNOWN,tr.air_conditioning.installation_service,UNKNOWN,PROFILE_INCOMPLETE; no Berlin requirement interpretation approved,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNBOUND_SOURCE_UNVERIFIED,SOURCE_UNVERIFIED,UNBOUND_CONNECTOR_PENDING,PENDING,UNKNOWN,CLEAR,BLOCKED,UNKNOWN_LEGAL_CREDENTIAL_SCOPE; PROFILE_INCOMPLETE; SOURCE_UNVERIFIED; CONNECTOR_PENDING; DRAFT_MACHINE; RELEASE_PENDING,10,tr.air_conditioning.installation_service,Klima — Montaj/demontaj/servis,draft,30010,1,MAPPED_BLOCKED,UNVERIFIED,PENDING,PENDING,PENDING,DRAFT_MACHINE,NOT_READY,UNKNOWN
