requirement_id,country,exact_jurisdiction,canonical_capability_id,canonical_capability_key,source_text_matches_yes_no,requirement_interpretation_approved_yes_no,exemption_transition_approved_yes_no,jurisdiction_scope_approved_yes_no,required_correction,verifier_full_name,professional_role_bar_or_qualification,verifier_jurisdiction,signed_approval_reference,verification_date,expiry_review_date,decision_after_review
DE-BE-BERLIN-CAP-1,DE,DE-BE-BERLIN,1,tr.cleaning.standard_home_cleaning,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-2,DE,DE-BE-BERLIN,2,tr.plumbing.installation,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-3,DE,DE-BE-BERLIN,3,tr.plumbing.maintenance_repair,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-4,DE,DE-BE-BERLIN,4,tr.plumbing.utility_meter,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-5,DE,DE-BE-BERLIN,5,tr.electrical.residential_installation,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-6,DE,DE-BE-BERLIN,6,tr.electrical.panel_or_project,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-7,DE,DE-BE-BERLIN,7,tr.electrical.meter_or_sealed_grid,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-8,DE,DE-BE-BERLIN,8,tr.painting.construction_painting,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-9,DE,DE-BE-BERLIN,9,tr.air_conditioning.cleaning_no_refrigerant,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-10,DE,DE-BE-BERLIN,10,tr.air_conditioning.installation_service,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-11,DE,DE-BE-BERLIN,11,tr.air_conditioning.refrigerant_circuit,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-12,DE,DE-BE-BERLIN,12,tr.heating.heating_service,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-13,DE,DE-BE-BERLIN,13,tr.heating.gas_appliance_service,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-14,DE,DE-BE-BERLIN,14,tr.heating.natural_gas_installation,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-15,DE,DE-BE-BERLIN,15,tr.moving.domestic_household,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-16,DE,DE-BE-BERLIN,16,tr.moving.international_household,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-17,DE,DE-BE-BERLIN,17,tr.moving.domestic_general_cargo,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-18,DE,DE-BE-BERLIN,18,tr.moving.lift_or_crane,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-19,DE,DE-BE-BERLIN,19,tr.locksmith.key_or_lock_work,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-20,DE,DE-BE-BERLIN,20,tr.locksmith.property_unlock,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-21,DE,DE-BE-BERLIN,21,tr.locksmith.vehicle_unlock,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-22,DE,DE-BE-BERLIN,22,tr.towing.commercial_recovery,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-23,DE,DE-BE-BERLIN,23,tr.roadside_assistance.battery_jump,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-24,DE,DE-BE-BERLIN,24,tr.roadside_assistance.tire_service,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-25,DE,DE-BE-BERLIN,25,tr.roadside_assistance.roadside_mechanic,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-26,DE,DE-BE-BERLIN,26,tr.roadside_assistance.vehicle_recovery,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-27,DE,DE-BE-BERLIN,27,tr.roadside_assistance.vehicle_unlock,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-28,DE,DE-BE-BERLIN,28,tr.roadside_assistance.fuel_delivery,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-29,DE,DE-BE-BERLIN,29,tr.courier.urban_motor_courier,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-30,DE,DE-BE-BERLIN,30,tr.courier.national_courier,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-31,DE,DE-BE-BERLIN,31,tr.courier.pedestrian_or_bicycle,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-32,DE,DE-BE-BERLIN,32,tr.furniture.assembly,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
DE-BE-BERLIN-CAP-33,DE,DE-BE-BERLIN,33,tr.furniture.wood_manufacturing,,,,,,,,,,,,BLOCKED_UNTIL_EXTERNAL_REVIEW
