research_row_id,canonical_category_id,canonical_category_slug,canonical_subcategory_id,canonical_subcategory_slug,mapping_state,risk_level,mandatory_bundles,conditional_bundles,source_ids_json,source_state,legal_state,connector_state,policy_decision,assurance_level,legal_approval_state,product_release_state,production_state,missing_evidence_decision
"US-CA-LOS_ANGELES:plumbing:leak-repair","1","plumbing","15","leak-repair","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C36|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:plumbing:clogged-drain","1","plumbing","28","clogged-drain","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C36|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:plumbing:boiler-piping","1","plumbing","40","boiler-piping","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C36|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-CA-C10|US-CA-C20-C38|US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:plumbing:faucet-installation","1","plumbing","52","faucet-installation","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C36|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:electrical:fault-repair","2","electrical","1","fault-repair","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C10|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:electrical:fixture-installation","2","electrical","2","fixture-installation","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C10|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:electrical:panel-renewal","2","electrical","3","panel-renewal","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C10|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:electrical:smart-home-electrical","2","electrical","16","smart-home-electrical","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-C10|US-CA-CONTRACTOR-CLASS|US-CA-LA-BASE","US-CA-ALARM|US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-BPC-7048,US-BSIS-ALARM,US-BSIS-VERIFY,US-CSLB-CLASS,US-CSLB-TRIGGER,US-CSLB-VERIFY,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:cleaning:home-cleaning","3","cleaning","4","home-cleaning","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-CLEAN-ORDINARY|US-CA-LA-BASE","US-CA-ASBESTOS|US-CA-GARDEN|US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-CSLB-CLASS,US-CSLB-VERIFY,US-DIR-ASBESTOS,US-DPR-PEST,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:cleaning:move-cleaning","3","cleaning","17","move-cleaning","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-CLEAN-ORDINARY|US-CA-LA-BASE","US-CA-ASBESTOS|US-CA-GARDEN|US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-CSLB-CLASS,US-CSLB-VERIFY,US-DIR-ASBESTOS,US-DPR-PEST,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
"US-CA-LOS_ANGELES:cleaning:office-cleaning","3","cleaning","29","office-cleaning","MAPPED_BLOCKED","CRITICAL","GLOBAL-EVIDENCE-CHAIN|GLOBAL-IDENTITY-ENTITY|GLOBAL-LOCAL-LAW-TEXT|US-CA-CLEAN-ORDINARY|US-CA-LA-BASE","US-CA-ASBESTOS|US-CA-GARDEN|US-EPA-RRP","G-NIST-IAL,G-W3C-VC,US-CSLB-CLASS,US-CSLB-VERIFY,US-DIR-ASBESTOS,US-DPR-PEST,US-EPA-RRP,US-LA-BTRC","AI_RESEARCHED_UNVERIFIED","NOT_REVIEWED","NOT_IMPLEMENTED_OR_NOT_AUTHORIZED","BLOCKED","SELF_ASSERTED","NOT_REVIEWED","PENDING","BLOCKED_PENDING_GATES","CAPABILITY_BLOCKED"
