document_key|locale|localization_state|runtime_selectable
US-CA-LA-APPEAL_NOTICE|en-US|DRAFT_MACHINE|0
US-CA-LA-APPEAL_NOTICE|es-US|DRAFT_MACHINE|0
US-CA-LA-CONSUMER_TERMS|en-US|DRAFT_MACHINE|0
US-CA-LA-CONSUMER_TERMS|es-US|DRAFT_MACHINE|0
US-CA-LA-COOKIE_NOTICE|en-US|DRAFT_MACHINE|0
US-CA-LA-COOKIE_NOTICE|es-US|DRAFT_MACHINE|0
US-CA-LA-INCIDENT_NOTICE|en-US|DRAFT_MACHINE|0
US-CA-LA-INCIDENT_NOTICE|es-US|DRAFT_MACHINE|0
US-CA-LA-PRIVACY_NOTICE|en-US|DRAFT_MACHINE|0
US-CA-LA-PRIVACY_NOTICE|es-US|DRAFT_MACHINE|0
US-CA-LA-PROVIDER_AGREEMENT|en-US|DRAFT_MACHINE|0
US-CA-LA-PROVIDER_AGREEMENT|es-US|DRAFT_MACHINE|0
