source_key,authority_issuer,law_or_regulation_title_as_captured,section_article_class_exception,effective_date_text,research_retrieved_at,official_url,archive_reference,archive_file_sha256,source_status,bound_requirement_bundles,bound_coverage_rows,source_unverified_reason,local_counsel_question
"G-NIST-IAL","NIST","G-NIST-IAL","Research source: NIST SP 800-63A — Identity Proofing","","Sun Aug 23 2026 23:14:03 GMT+0000 (Coordinated Universal Time)","https://pages.nist.gov/800-63-4/sp800-63a.html","mf5-v2-research:G-NIST-IAL:0243178194af89282fbb010fe139f4f404b8efc2d03ecfeb4a147254d3e4c96c","0243178194af89282fbb010fe139f4f404b8efc2d03ecfeb4a147254d3e4c96c","SOURCE_UNVERIFIED","[""GLOBAL-IDENTITY-ENTITY""]","[""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery"",""US-CA-LOS_ANGELES:roadside:battery-jump"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:fuel-delivery"",""US-CA-LOS_ANGELES:roadside:minor-repair"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:automotive:vehicle-maintenance"",""US-CA-LOS_ANGELES:automotive:vehicle-diagnostics"",""US-CA-LOS_ANGELES:automotive:tire-service"",""US-CA-LOS_ANGELES:automotive:auto-detailing"",""US-CA-LOS_ANGELES:technology:computer-service"",""US-CA-LOS_ANGELES:technology:mobile-device-service"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup"",""US-CA-LOS_ANGELES:personal-care:hair-care"",""US-CA-LOS_ANGELES:personal-care:makeup"",""US-CA-LOS_ANGELES:personal-care:nail-care"",""US-CA-LOS_ANGELES:personal-care:massage""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"G-W3C-VC","W3C","G-W3C-VC","Research source: Verifiable Credentials Data Model 2.0","","Sun Aug 23 2026 23:14:03 GMT+0000 (Coordinated Universal Time)","https://www.w3.org/TR/vc-data-model-2.0/","mf5-v2-research:G-W3C-VC:154b2cb06b5ad2701de94008f8fcac872d9479302413e473b0b09b60a4b1e5ec","154b2cb06b5ad2701de94008f8fcac872d9479302413e473b0b09b60a4b1e5ec","SOURCE_UNVERIFIED","[""GLOBAL-EVIDENCE-CHAIN""]","[""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:cleaning:home-cleaning"",""US-CA-LOS_ANGELES:cleaning:office-cleaning"",""US-CA-LOS_ANGELES:cleaning:move-cleaning"",""US-CA-LOS_ANGELES:cleaning:deep-cleaning"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:courier:document-courier"",""US-CA-LOS_ANGELES:courier:parcel-courier"",""US-CA-LOS_ANGELES:courier:moto-courier"",""US-CA-LOS_ANGELES:courier:scheduled-delivery"",""US-CA-LOS_ANGELES:roadside:battery-jump"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:fuel-delivery"",""US-CA-LOS_ANGELES:roadside:minor-repair"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:automotive:vehicle-maintenance"",""US-CA-LOS_ANGELES:automotive:vehicle-diagnostics"",""US-CA-LOS_ANGELES:automotive:tire-service"",""US-CA-LOS_ANGELES:automotive:auto-detailing"",""US-CA-LOS_ANGELES:technology:computer-service"",""US-CA-LOS_ANGELES:technology:mobile-device-service"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup"",""US-CA-LOS_ANGELES:personal-care:hair-care"",""US-CA-LOS_ANGELES:personal-care:makeup"",""US-CA-LOS_ANGELES:personal-care:nail-care"",""US-CA-LOS_ANGELES:personal-care:massage""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BAR-ARD","California Bureau of Automotive Repair","US-BAR-ARD","Research source: Apply for an Automotive Repair Dealer registration","","Sun Aug 23 2026 23:14:04 GMT+0000 (Coordinated Universal Time)","https://www.bar.ca.gov/apply","mf5-v2-research:US-BAR-ARD:5860b1f4bd6947d9b26e300bdd05d45f376fe70ff6b47030cb5c87804f7c55df","5860b1f4bd6947d9b26e300bdd05d45f376fe70ff6b47030cb5c87804f7c55df","SOURCE_UNVERIFIED","[""US-CA-ARD""]","[""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:minor-repair"",""US-CA-LOS_ANGELES:automotive:vehicle-maintenance"",""US-CA-LOS_ANGELES:automotive:vehicle-diagnostics"",""US-CA-LOS_ANGELES:automotive:tire-service"",""US-CA-LOS_ANGELES:automotive:auto-detailing""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BAR-LOOKUP","California BAR","US-BAR-LOOKUP","Research source: Public records and licence lookup","","Sun Aug 23 2026 23:14:05 GMT+0000 (Coordinated Universal Time)","https://bar.ca.gov/public-records","mf5-v2-research:US-BAR-LOOKUP:fd237a7190860fc98f28c18d96a6fb9e2f8cfd105f56c3b174c55bc6874d8e9e","fd237a7190860fc98f28c18d96a6fb9e2f8cfd105f56c3b174c55bc6874d8e9e","SOURCE_UNVERIFIED","[""US-CA-ARD""]","[""US-CA-LOS_ANGELES:towing:breakdown-tow"",""US-CA-LOS_ANGELES:towing:accident-tow"",""US-CA-LOS_ANGELES:towing:vehicle-transport"",""US-CA-LOS_ANGELES:roadside:tire-change"",""US-CA-LOS_ANGELES:roadside:minor-repair"",""US-CA-LOS_ANGELES:automotive:vehicle-maintenance"",""US-CA-LOS_ANGELES:automotive:vehicle-diagnostics"",""US-CA-LOS_ANGELES:automotive:tire-service"",""US-CA-LOS_ANGELES:automotive:auto-detailing""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BC-LICENSE","California Board of Barbering and Cosmetology","US-BC-LICENSE","Research source: Licensee scope","","Sun Aug 23 2026 23:14:06 GMT+0000 (Coordinated Universal Time)","https://www.barbercosmo.ca.gov/licensees/","mf5-v2-research:US-BC-LICENSE:da816e7114feadd3d287f14132fe2e0a02c7c115a39b85b4314ec7d17d0d0423","da816e7114feadd3d287f14132fe2e0a02c7c115a39b85b4314ec7d17d0d0423","SOURCE_UNVERIFIED","[""US-CA-PERSONAL""]","[""US-CA-LOS_ANGELES:personal-care:hair-care"",""US-CA-LOS_ANGELES:personal-care:makeup"",""US-CA-LOS_ANGELES:personal-care:nail-care""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BC-PSP","California Board of Barbering and Cosmetology","US-BC-PSP","Research source: Personal Service Permit","","Sun Aug 23 2026 23:14:06 GMT+0000 (Coordinated Universal Time)","https://barbercosmo.ca.gov/licensees/psp_info.shtml","mf5-v2-research:US-BC-PSP:c3d28576478f8ce2a5289c0c1bdba894e5742ca13824d701a9de70784fb26b91","c3d28576478f8ce2a5289c0c1bdba894e5742ca13824d701a9de70784fb26b91","SOURCE_UNVERIFIED","[""US-CA-PERSONAL""]","[""US-CA-LOS_ANGELES:personal-care:hair-care"",""US-CA-LOS_ANGELES:personal-care:makeup"",""US-CA-LOS_ANGELES:personal-care:nail-care""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BHGS-MOVER","California BHGS","US-BHGS-MOVER","Research source: Household movers FAQ","","Sun Aug 23 2026 23:14:07 GMT+0000 (Coordinated Universal Time)","https://www.bhgs.dca.ca.gov/licensee/hhm_faqs.shtml","mf5-v2-research:US-BHGS-MOVER:be4c3f629910b8d818f67458899e5230cd7f3f6d66683ccdeb8f011098f17070","be4c3f629910b8d818f67458899e5230cd7f3f6d66683ccdeb8f011098f17070","SOURCE_UNVERIFIED","[""US-CA-HHG-MOVER""]","[""US-CA-LOS_ANGELES:moving:house-moving"",""US-CA-LOS_ANGELES:moving:office-moving"",""US-CA-LOS_ANGELES:moving:single-item-moving"",""US-CA-LOS_ANGELES:moving:intercity-moving""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BHGS-REPAIR","California BHGS","US-BHGS-REPAIR","Research source: Electronic/Appliance Service Dealer FAQ","","Sun Aug 23 2026 23:14:08 GMT+0000 (Coordinated Universal Time)","https://bhgs.dca.ca.gov/licensee/bear_faqs.shtml","mf5-v2-research:US-BHGS-REPAIR:e8c3ed7007aef646c63968185d504557004443b45529739dc5d31447d90efadf","e8c3ed7007aef646c63968185d504557004443b45529739dc5d31447d90efadf","SOURCE_UNVERIFIED","[""US-CA-APPLIANCE""]","[""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:technology:computer-service"",""US-CA-LOS_ANGELES:technology:mobile-device-service"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BPC-7048","California Legislature","US-BPC-7048","Research source: Business and Professions Code §7048","","Sun Aug 23 2026 23:14:09 GMT+0000 (Coordinated Universal Time)","https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=BPC&sectionNum=7048.","mf5-v2-research:US-BPC-7048:2f84256b59faed7c48e6bc052fb30448ef127f15c66854e2d0e5a1909fbc636f","2f84256b59faed7c48e6bc052fb30448ef127f15c66854e2d0e5a1909fbc636f","SOURCE_UNVERIFIED","[""US-CA-CONTRACTOR-CLASS"",""US-CA-HOME-REPAIR""]","[""US-CA-LOS_ANGELES:plumbing:leak-repair"",""US-CA-LOS_ANGELES:plumbing:clogged-drain"",""US-CA-LOS_ANGELES:plumbing:faucet-installation"",""US-CA-LOS_ANGELES:plumbing:boiler-piping"",""US-CA-LOS_ANGELES:electrical:fault-repair"",""US-CA-LOS_ANGELES:electrical:fixture-installation"",""US-CA-LOS_ANGELES:electrical:panel-renewal"",""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:hvac:ac-installation"",""US-CA-LOS_ANGELES:hvac:ac-maintenance"",""US-CA-LOS_ANGELES:hvac:boiler-maintenance"",""US-CA-LOS_ANGELES:hvac:radiator-heating"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:painting:interior-painting"",""US-CA-LOS_ANGELES:painting:exterior-painting"",""US-CA-LOS_ANGELES:painting:wallpaper"",""US-CA-LOS_ANGELES:painting:plastering"",""US-CA-LOS_ANGELES:gardening:garden-maintenance"",""US-CA-LOS_ANGELES:gardening:landscaping"",""US-CA-LOS_ANGELES:gardening:pruning"",""US-CA-LOS_ANGELES:gardening:irrigation"",""US-CA-LOS_ANGELES:appliance:washing-machine"",""US-CA-LOS_ANGELES:appliance:dishwasher"",""US-CA-LOS_ANGELES:appliance:refrigerator"",""US-CA-LOS_ANGELES:appliance:oven-cooker"",""US-CA-LOS_ANGELES:home-repair:furniture-assembly"",""US-CA-LOS_ANGELES:home-repair:drywall-repair"",""US-CA-LOS_ANGELES:home-repair:door-window-repair"",""US-CA-LOS_ANGELES:home-repair:general-handyman"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
"US-BSIS-ALARM","California BSIS","US-BSIS-ALARM","Research source: Alarm company operator facts","","Sun Aug 23 2026 23:14:09 GMT+0000 (Coordinated Universal Time)","https://www.bsis.ca.gov/forms_pubs/alarm_fact.shtml","mf5-v2-research:US-BSIS-ALARM:2dbedc40316e44f430dcaec65be861a03ae5f974246e3e75c017dea4e5135553","2dbedc40316e44f430dcaec65be861a03ae5f974246e3e75c017dea4e5135553","SOURCE_UNVERIFIED","[""US-CA-ALARM""]","[""US-CA-LOS_ANGELES:electrical:smart-home-electrical"",""US-CA-LOS_ANGELES:locksmith:door-opening"",""US-CA-LOS_ANGELES:locksmith:lock-replacement"",""US-CA-LOS_ANGELES:locksmith:car-locksmith"",""US-CA-LOS_ANGELES:technology:network-setup"",""US-CA-LOS_ANGELES:technology:smart-home-setup""]","No external California/Los Angeles counsel signed row-level approval or immutable SOURCE_VERIFICATION ledger event exists.","Confirm exact legal title, section/classification/exception, effective date, jurisdiction applicability and whether this source is authoritative for each bound requirement before approval."
