"review_row_id","canonical_category_id","canonical_subservice_id","canonical_subservice_name","source_reference_ids","regulation_name","article_annex_exception","official_gazette_date_number","effective_date","legal_requirement_decision","required_or_conditional","applicable_subjects","local_jurisdiction_override","official_source_archive_sha256","counsel_name","counsel_role_and_authority","counsel_review_timestamp","counsel_signature_or_evidence_hash","approval_status","notes"
"TR-1-15","1","15","Su Kaçağı Onarımı","MYK_QUALIFICATIONS | MYK_MANDATORY | MEB_MASTER","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-1-28","1","28","Tıkanıklık Açma","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-1-40","1","40","Kombi ve Tesisat","EPDK_GAS | MYK_QUALIFICATIONS","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-1-52","1","52","Musluk ve Batarya","MYK_QUALIFICATIONS | MYK_MANDATORY | MYK_EXEMPTION | MEB_MASTER","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-2-1","2","1","Elektrik Arızası","MYK_MANDATORY | MYK_QUALIFICATIONS | MYK_EXEMPTION | MEB_MASTER | ELECTRIC_2026","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-2-2","2","2","Aydınlatma Montajı","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-2-3","2","3","Pano Yenileme","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-2-16","2","16","Akıllı Ev Elektriği","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-3-4","3","4","Ev Temizliği","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-3-17","3","17","Taşınma Temizliği","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-3-29","3","29","Ofis Temizliği","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-3-41","3","41","Derin Temizlik","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-4-5","4","5","Klima Montajı","MYK_QUALIFICATIONS","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-4-18","4","18","Petek ve Isıtma","MYK_QUALIFICATIONS | MYK_MANDATORY | MYK_EXEMPTION | MEB_MASTER","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-4-30","4","30","Kombi Bakımı","MYK_QUALIFICATIONS | SERBIS","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-4-53","4","53","Klima Bakımı","MYK_QUALIFICATIONS","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-5-6","5","6","Kilit Değişimi","MYK_QUALIFICATIONS | MYK_MANDATORY | MEB_MASTER","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-5-42","5","42","Kapı Açma","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-5-54","5","54","Oto Çilingir","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-6-7","6","7","Alçı ve Sıva","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-6-19","6","19","Dış Cephe Boya","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-6-31","6","31","İç Cephe Boya","MYK_MANDATORY | MYK_QUALIFICATIONS | MYK_EXEMPTION | MEB_MASTER","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-6-43","6","43","Duvar Kâğıdı","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-7-20","7","20","Budama","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-7-32","7","32","Peyzaj","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-7-44","7","44","Sulama Sistemi","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-7-55","7","55","Bahçe Bakımı","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-8-8","8","8","Evden Eve Nakliyat","UAB_TYPES | UAB_VERIFY | UAB_SRC","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-8-21","8","21","Şehirlerarası Nakliyat","UAB_TYPES | UAB_VERIFY | UAB_SRC","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-8-33","8","33","Tek Parça Taşıma","UAB_TYPES | UAB_VERIFY | UAB_SRC","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-8-56","8","56","Ofis Taşıma","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-9-9","9","9","Bulaşık Makinesi","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-9-34","9","34","Fırın ve Ocak","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-9-45","9","45","Çamaşır Makinesi","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-9-57","9","57","Buzdolabı","NONE","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
"TR-13-10","13","10","Araç Taşıma","UAB_TYPES | UAB_VERIFY | UAB_SRC | MEB_TOW_OPERATOR","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","","","","","","","","","","LEGAL_REVIEW_REQUIRED",""
