"capability_id","capability_key","capability_name","current_catalog_status","readiness_classification","reason","owner_release_eligible","country_effective_state"
"1","tr.cleaning.standard_home_cleaning","Temizlik — Standart ev temizliği","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"2","tr.plumbing.installation","Su Tesisatı — Sıhhi tesisat montajı/yeni hat/armatür","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"3","tr.plumbing.maintenance_repair","Su Tesisatı — Bakım/arıza/onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"4","tr.plumbing.utility_meter","Su Tesisatı — Su sayacı/mühürlü idare ekipmanı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"5","tr.electrical.residential_installation","Elektrik — Konut iç tesisat/priz/aydınlatma/arıza","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"6","tr.electrical.panel_or_project","Elektrik — Pano/yeni esaslı tesisat/proje yetkisi","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"7","tr.electrical.meter_or_sealed_grid","Elektrik — Elektrik sayacı/mühürlü dağıtım ekipmanı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"8","tr.painting.construction_painting","Boya & Badana — İç/dış cephe inşaat boyacılığı","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"9","tr.air_conditioning.cleaning_no_refrigerant","Klima — Filtre/dış temizlik; soğutucu devreye müdahale yok","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"10","tr.air_conditioning.installation_service","Klima — Montaj/demontaj/servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"11","tr.air_conditioning.refrigerant_circuit","Klima — Soğutucu gaz devresi/vakum/şarj/geri kazanım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"12","tr.heating.heating_service","Kombi & Isıtma — Isıtma tesisatı bakım-onarım/servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"13","tr.heating.gas_appliance_service","Kombi & Isıtma — Gaz yakıcı cihaz/kombi servis","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"14","tr.heating.natural_gas_installation","Kombi & Isıtma — Doğal gaz iç tesisat/bağlantı/test/bakım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"15","tr.moving.domestic_household","Nakliyat — Yurtiçi ticari ev/büro eşyası taşıma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"16","tr.moving.international_household","Nakliyat — Uluslararası+yurtiçi ticari ev/büro eşyası","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"17","tr.moving.domestic_general_cargo","Nakliyat — Yurtiçi genel ticari eşya","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"18","tr.moving.lift_or_crane","Nakliyat — Asansörlü nakliye/mobil vinç-kaldırma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"19","tr.locksmith.key_or_lock_work","Çilingir — Anahtar çoğaltma/kilit montaj-onarım","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"20","tr.locksmith.property_unlock","Çilingir — Konut/işyeri acil kapı açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
"21","tr.locksmith.vehicle_unlock","Çilingir — Araç kilidi açma","draft","BLOCKED_LEGAL_REVIEW","No valid local counsel/source/connector/physical-device evidence; production allowlist is empty","FALSE","READINESS_BLOCKED"
