"country_code","canonical_category_id","canonical_category_slug","canonical_category_name","canonical_subservice_id","canonical_subservice_slug","canonical_subservice_name","live_catalog_active","gold_master_scope_keys","gold_master_service_scopes","proposed_requirement_labels","proposed_requirement_status","source_reference_ids","source_urls","source_archive_reference","source_archive_sha256","regulation_name","article_annex_exception","official_gazette_date_number","effective_date","source_status","legal_review_status","authority_and_permitted_method","connector_status","verification_subjects","automatic_authority_verification","capability_readiness","counsel_reviewer_name","counsel_reviewer_role","counsel_reviewed_at","counsel_decision","counsel_evidence_hash","counsel_notes"
"TR","1","plumbing","Su Tesisatı","15","leak-repair","Su Kaçağı Onarımı","true","plumbing:2","Su Tesisatı — Bakım / arıza / onarım","21UY0447-4 Sıhhi Tesisat Bakım Onarım ve Servis Elemanı (Seviye 4) | İlgili MEB ustalık/diploma","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","MYK_QUALIFICATIONS | MYK_MANDATORY | MEB_MASTER","https://portal.myk.gov.tr/index.php?option=com_yeterlilik&view=arama | https://portal.myk.gov.tr/index.php?belge_zorunlu=1&option=com_yeterlilik&view=arama | https://www.turkiye.gov.tr/milli-egitim-kalfalik-ustalik-usta-ogrencilik-ve-is-yeri-acma-belgesi-sorgulama","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","PENDING_OFFICIAL_AUTHORIZATION","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","1","plumbing","Su Tesisatı","28","clogged-drain","Tıkanıklık Açma","true","UNMAPPED_LIVE_SUBSERVICE","No exact Gold Master scope mapping","UNKNOWN — counsel must determine","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","LEGAL_REVIEW_REQUIRED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","1","plumbing","Su Tesisatı","40","boiler-piping","Kombi ve Tesisat","true","heating:3","Kombi & Isıtma — Doğal gaz iç tesisat borulama/bağlantı/test/bakım","11UY0031-3 Isıtma ve Doğal Gaz İç Tesisat Yapım Personeli – kişi kapsamı | EPDK/dağıtım sistemi İç Tesisat ve Servis Hatları Sertifikası / ilgili sertifika modeli | İlgili doğal gaz dağıtım şirketi proje/onay/test/işletmeye alma şartları","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","EPDK_GAS | MYK_QUALIFICATIONS","https://www.epdk.gov.tr/Detay/Icerik/3-0-81/dogal-gazsertifika-islemleri | https://portal.myk.gov.tr/index.php?option=com_yeterlilik&view=arama","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","PENDING_OFFICIAL_AUTHORIZATION","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","1","plumbing","Su Tesisatı","52","faucet-installation","Musluk ve Batarya","true","plumbing:1","Su Tesisatı — Sıhhi tesisat montajı / yeni hat / armatür","21UY0448-3 Sıhhi Tesisatçı (Seviye 3) | İlgili MEB ustalık belgesi / mevzuatça kabul edilen diploma-muafiyet","CONDITIONAL_OR_REQUIRED_COUNSEL_TO_CONFIRM","MYK_QUALIFICATIONS | MYK_MANDATORY | MYK_EXEMPTION | MEB_MASTER","https://portal.myk.gov.tr/index.php?option=com_yeterlilik&view=arama | https://portal.myk.gov.tr/index.php?belge_zorunlu=1&option=com_yeterlilik&view=arama | https://www.myk.gov.tr/tr/haberler/yeterlilik/belge-zorunluluuna-ilikin-skca-sorulan-sorular | https://www.turkiye.gov.tr/milli-egitim-kalfalik-ustalik-usta-ogrencilik-ve-is-yeri-acma-belgesi-sorgulama","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","PENDING_OFFICIAL_AUTHORIZATION","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","2","electrical","Elektrik","1","fault-repair","Elektrik Arızası","true","electrical:1","Elektrik — Konut iç tesisat / priz / anahtar / aydınlatma / arıza","15UY0241-3 Elektrik Tesisatçısı (Seviye 3) | 15UY0241-4 Elektrik Tesisatçısı (Seviye 4) | 17UY0288-5 Elektrik Tesisatçısı (Seviye 5) – kapsam göre | İlgili MEB ustalık/diploma-muafiyet | Fen adamı yetki sınırı – iş kapsamı/bağlantı gücü gerektiriyorsa","CONDITIONAL_OR_REQUIRED_COUNSEL_TO_CONFIRM","MYK_MANDATORY | MYK_QUALIFICATIONS | MYK_EXEMPTION | MEB_MASTER | ELECTRIC_2026","https://portal.myk.gov.tr/index.php?belge_zorunlu=1&option=com_yeterlilik&view=arama | https://portal.myk.gov.tr/index.php?option=com_yeterlilik&view=arama | https://www.myk.gov.tr/tr/haberler/yeterlilik/belge-zorunluluuna-ilikin-skca-sorulan-sorular | https://www.turkiye.gov.tr/milli-egitim-kalfalik-ustalik-usta-ogrencilik-ve-is-yeri-acma-belgesi-sorgulama | https://meslekihizmetler.csb.gov.tr/haberler/elektrik-ile-ilgili-fen-adamlarinin-yetkileri-yeniden-belirlendi-302595","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","MYK/MEB issuer doğrulaması veya kullanıcı yetkili barkodlu belge; API/contract yok => PENDING","PENDING_OFFICIAL_AUTHORIZATION","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","2","electrical","Elektrik","2","fixture-installation","Aydınlatma Montajı","true","UNMAPPED_LIVE_SUBSERVICE","No exact Gold Master scope mapping","UNKNOWN — counsel must determine","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","LEGAL_REVIEW_REQUIRED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","2","electrical","Elektrik","3","panel-renewal","Pano Yenileme","true","electrical:2","Elektrik — Pano / yeni-esaslı tesisat / proje-yetki sınırı doğuran iş","Uygun seviye elektrik yeterliliği | Fen adamı/mühendis yetkisi – işin kapsamı gerektiriyorsa | Dağıtım/proje süreci – uygulanıyorsa","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","2","electrical","Elektrik","16","smart-home-electrical","Akıllı Ev Elektriği","true","UNMAPPED_LIVE_SUBSERVICE","No exact Gold Master scope mapping","UNKNOWN — counsel must determine","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","LEGAL_REVIEW_REQUIRED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","3","cleaning","Temizlik","4","home-cleaning","Ev Temizliği","true","cleaning:1","Temizlik — Standart ev temizliği","Ortak kimlik/çalışma hakkı/faaliyet statüsü","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","SOURCE_UNVERIFIED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
"TR","3","cleaning","Temizlik","17","move-cleaning","Taşınma Temizliği","true","UNMAPPED_LIVE_SUBSERVICE","No exact Gold Master scope mapping","UNKNOWN — counsel must determine","CONDITIONAL_OR_UNKNOWN_COUNSEL_TO_CONFIRM","NONE","NONE","TR-GOLD-2026-08-13-v1.0; country pack sha256=3f901161467c6ce2f8b9362de4d576f8d267dc3fdcbf281cbcf45af7f017175e; registry sha256=b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4; public retrieval notes=TR_PUBLIC_SOURCE_RETRIEVAL_NOTES.md","b23407320589806933bfb6b5057545d7f5c7d660296083b323f5d2b5cb4077c4","COUNSEL_REQUIRED — do not infer from research pack","COUNSEL_REQUIRED","COUNSEL_REQUIRED","COUNSEL_REQUIRED","LEGAL_REVIEW_REQUIRED","LEGAL_REVIEW_REQUIRED","Yetkili kurum veya kayıtlı yetkili manuel teyit gerekli; connector NOT_CONFIGURED","NOT_CONFIGURED","PERSON|BUSINESS|QUALIFIED_MANAGER|DRIVER|VEHICLE|OPERATOR|SITE|PROJECT — apply only when counsel marks applicable","FALSE","BLOCKED_LEGAL_REVIEW","","","","","",""
