connector_key|status|assurance_level|forbidden_scraping
US_V2_CANDIDATE_G-NIST-IAL|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_G-W3C-VC|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BAR-ARD|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BAR-LOOKUP|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BC-LICENSE|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BC-PSP|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BHGS-MOVER|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BHGS-REPAIR|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BPC-7048|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BSIS-ALARM|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BSIS-LOCK|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-BSIS-VERIFY|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-CAMTC|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-CSLB-CLASS|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-CSLB-TRIGGER|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-CSLB-VERIFY|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DCA-LOOKUP|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DIR-ASBESTOS|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DMV-CDL|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DMV-MCP|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DMV-TTD|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-DPR-PEST|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-EPA-608|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-EPA-RRP|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-FMCSA-AUTH|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-FMCSA-MOVER|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-LA-BTRC|NOT_CONFIGURED|NONE|1
US_V2_CANDIDATE_US-LA-TOW|NOT_CONFIGURED|NONE|1
