source_id,official_local_title,authority,official_url,instrument_name,exact_article_paragraph_annex,official_publication_date,effective_date,transition_or_exemption,supported_requirement_ids,source_status,accessed_at_utc,source_content_hash_or_immutable_archive,verifier_full_name,verification_at,approval_reference
DE-HWO,Handwerksordnung,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/hwo/,Handwerksordnung,Handwerksrolle §§ 6–17; Anlagen A/B — DISCOVERY_ONLY,UNKNOWN,UNKNOWN,UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-HWO; package manifest hash required,,,
DE-NAV-13,Verordnung über Allgemeine Bedingungen für den Netzanschluss und dessen Nutzung für die Elektrizitätsversorgung in Niederspannung,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/nav/BJNR247710006.html,Niederspannungsanschlussverordnung (NAV),§ 13 Elektrische Anlage — DISCOVERY_ONLY,01.11.2006 (displayed; unverified),08.11.2006 (text-reference start displayed; unverified),UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-NAV-13; package manifest hash required,,,
DE-AVBWASSERV-12,Verordnung über Allgemeine Bedingungen für die Versorgung mit Wasser,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/avbwasserv/BJNR007500980.html,AVBWasserV,§ 12 — NOT_SEPARATELY_CAPTURED; DISCOVERY_ONLY,20.06.1980 (displayed; unverified),UNKNOWN,UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-AVBWASSERV-12; package manifest hash required,,,
DE-NDAV-13,Verordnung über Allgemeine Bedingungen für den Netzanschluss und dessen Nutzung für die Gasversorgung in Niederdruck,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/ndav/__13.html,Niederdruckanschlussverordnung (NDAV),§ 13 Gasanlage; § 13(2) installer-directory wording observed — DISCOVERY_ONLY,UNKNOWN,UNKNOWN,Berlin operator/zone and exception UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-NDAV-13; package manifest hash required,,,
DE-CHEMKLIMASCHUTZV-2026,Verordnung zum Schutz des Klimas vor Veränderungen durch den Eintrag bestimmter fluorierter Treibhausgase und zur Durchführung der Verordnung (EU) 2024/573,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/chemklimaschutzv_2026/,Chemikalien-Klimaschutzverordnung,"§§ 5–8, § 10, § 17 listed on contents page — DISCOVERY_ONLY",UNKNOWN,UNKNOWN,§ 17 transition text not interpreted,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-CHEMKLIMASCHUTZV-2026; package manifest hash required,,,
DE-BALM-GUETERVERKEHR,Fragen und Antworten zum Güterkraftverkehr,Federal Office for Logistics and Mobility (BALM),https://www.balm.bund.de/DE/Service/FragenAntwortenFAQ/FragenAntwortenGueterverkehr/fragenantwortengueterverkehr.html,BALM Güterkraftverkehr information,§ 7a(1) GüKG referenced by retrieved FAQ — DISCOVERY_ONLY,UNKNOWN,UNKNOWN,Route/weight/cargo/operator exemption UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-BALM-GUETERVERKEHR; package manifest hash required,,,
DE-POSTG-2024,Postgesetz,Federal Ministry of Justice / gesetze-im-internet,https://www.gesetze-im-internet.de/postg_2024/BJNR0EC0B0024.html,Postgesetz (PostG),"§§ 4, 5, 7 listed on contents page — DISCOVERY_ONLY",15.07.2024; BGBl. 2024 I Nr. 236 (displayed; unverified),19.07.2024 (displayed; unverified),Scope/exception for marketplace courier UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-POSTG-2024; package manifest hash required,,,
DE-BNETZA-POST-DIRECTORY,Anbieterverzeichnis,Bundesnetzagentur,https://www.bundesnetzagentur.de/DE/Fachthemen/Post/Anbieterverzeichnis/artikel.html,Bundesnetzagentur provider directory,Directory landing page only — no API/field contract captured,UNKNOWN,UNKNOWN,Application/transitional details require counsel review,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-BNETZA-POST-DIRECTORY; package manifest hash required,,,
DE-DVGW-INSTALLER-RESEARCH,Der DVGW,Deutscher Verein des Gas- und Wasserfaches e.V. (DVGW),https://www.dvgw.de/,DVGW public discovery page,No legal article/annex captured,UNKNOWN,UNKNOWN,Network/operator and installer-list scope UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-DVGW-INSTALLER-RESEARCH; package manifest hash required,,,
DE-VDE-TAB-RESEARCH,"VDE Association for Electrical, Electronic and Information Technologies",VDE,https://www.vde.com/,VDE/TAB public discovery page,"No Berlin TAB, operator list or legal article/annex captured",UNKNOWN,UNKNOWN,Network/operator and installer-list scope UNKNOWN,NO_REQUIREMENT_BINDING_CREATED,SOURCE_UNVERIFIED,2026-08-22 UTC; discovery retrieval only,ARCHIVE_REF:DE_BERLIN_OFFICIAL_SOURCE_FETCH_NOTES.md#DE-VDE-TAB-RESEARCH; package manifest hash required,,,
